hindi,english
कृपया खाली ढेर को पहले भरें. ,Please fill in empty pile first.
खाली खाँचा पर कुछ रखें,Place something on empty slot
चार सूइट,Four Suits
दो सूट,Two Suits
एक सूट,One Suit
खाली अस्थायी खाँचा पर पत्ता ले जाएँ,Move a card to an empty temporary slot
कोई संकेत उपलब्ध नहीं है,No hint available
अस्थायी स्पॉट उपयोग स्वीकारें,Allow temporary spots use
जनरल का पेशेंस,General 's Patience
टूटते तारे,Falling Stars
सिन्योर,Signora
रेडहेड,Redheads
ब्लॉड और बर्नेट,Blondes and Brunettes
वुड,Wood
न्यास,the foundation
डेक में से पत्ता निकालें,Deal a card from the deck
बेकार के ऊपर के दो कार्ड का प्रयोग करें,Match the top two cards of the waste.
प्रगतिशील राउंड,Progressive Rounds
बहुल स्कोरिंग,Multiplier Scoring
खाली तस्वीर खाँचा पर पत्तों को ले जाएँ,Move a build of cards on to the empty Tableau slot
फ्रीसेल सॉलिटेयर,FreeCell Solitaire
लोकप्रिय ताश का खेल फ्रीसेल खेलें,Play the popular FreeCell card game
एस्लेरियॉट सॉलिटेयर,AisleRiot Solitaire
भिन्न प्रकार के सॉलिटेयर खेल खेलें,Play many different solitaire games
प्रसंग फाइल नाम,Theme file name
पत्तों हेतु ग्राफ़िक्स सहित फ़ाइल का नाम. ,The name of the file with the graphics for the cards.
उपकरण-पट्टी दिखाएँ या नहीं,Whether or not to show the toolbar
स्थिति-पट्टी दिखाएँ या नहीं,Whether or not to show the status bar
नियंत्रण की शैली का चयन करें,Select the style of control
चुनें कि कार्ड खींचना है या गंतव्य के बजाय श्रोत पर क्लिक करना है. ,Select whether to drag the cards or to click on the source then the destination.
ध्वनि,Sound
घटनाओं हेतु ध्वनि बजाएँ या नहीं. ,Whether or not to play event sounds.
एनीमेशन,Animations
कार्ड चालों में एनीमेशन उपयोग करें या नहीं. ,Whether or not to animate card moves.
